expense_date,category,description,amount_usd
2026-02-01,Groceries,Weekly shop,84.32
2026-02-02,Rent,February rent,1450.00
2026-02-03,Entertainment,Movie tickets,28.50
2026-02-04,Groceries,Farmers market,41.75
2026-02-05,Utilities,Electric bill,96.10
2026-02-06,Entertainment,Streaming subscription,15.99
2026-02-07,Groceries,Weekly shop,77.60
2026-02-08,Transportation,Gas fill-up,52.20
2026-02-09,Utilities,Water bill,38.40
2026-02-10,Entertainment,Concert ticket,120.00
2026-02-11,Transportation,Bus pass,60.00
2026-02-12,Groceries,Weekly shop,89.15
